X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-78.087166888103582,40.069053400122336,0,,,,LISA MELLOTT,SFD,,,223,,,MERRYWOODS,LN,,TAY,,
-78.087625947707394,40.070325432688918,0,,,,LESTER HAWKINS,SFD,,,329,,,MERRYWOODS,LN,,TAY,,
-78.189557650130169,39.755631107205367,0,,,,SOUTHERN FULTON SCHOOL DISTRICT,Public,,,12901,,,BUCK VALLEY,RD,,BET,,
-78.183119121186195,39.748111614915764,0,,,,,Business,,,170,,,HORSESHOE,DR,,BET,,
-78.240865432973408,39.920508103266322,0,,,,,SFD,,,965,,,DREAMWEAVER,LN,,BCR,,
-78.124883393018237,39.986982947952271,0,,,,,SFD,,,6687,,,BLACK BEAR,RD,,LCR,,
-78.052072740049681,39.858747032710873,0,,,,,SFD,,,15197,,,GREAT COVE,RD,,AYR,,
-78.144010297764694,39.849114770283855,0,,,,FULTON COUNTY COMMUNITY CHRISTIAN SCHOOL,Public,,,8159,,,GREAT COVE,RD,,BEL,,
-78.156504964235495,39.798437801425727,0,,,,,SFD,,,5545,,,THOMPSON,RD,,THM,,
-78.155966185540578,39.793508169020079,0,,,,,SFD,,,163,,,WERTMAN,LN,,THM,,
-78.156002888841485,39.72976275804664,0,,,,,SFD,,,529,,,WEAVERS CREEK,LN,,THM,,
-78.157360862670757,39.731334732809458,0,,,,,SFD,,,797,,,WEAVERS CREEK,LN,,THM,,
-78.119877546153518,39.936454850798256,0,,,,Do not address,SFD,,,514,,,APPLE BLOSSOM,LN,,LCR,,
-78.087701019539097,40.014487521010579,0,,,,,SFD,,,1451,,,LEAR,RD,,LCR,,
-78.085460903900398,40.01278904469708,0,,,,,SFD,,,1288,,,LEAR,RD,,LCR,,
-78.06416154328096,40.061983996104509,0,,,,,SFD,,,5598,,,WATERFALL,RD,,TAY,,
-78.061330298679465,40.075977087154591,0,,,,,SFD,,,4679,,,WATERFALL,RD,,TAY,,
-78.045122301093102,40.107705327033621,0,,,,,SFD,,,342,N,,MADDEN,RD,,TAY,,
-77.910333419797126,40.031610214068721,0,,,,,SFD,,,115,,,FORBES,RD,,TOD,,
-77.910260111096889,40.033268370317735,0,,,,,SFD,,,209,,,FORBES,RD,,TOD,,
-78.022779058431141,39.943312441459881,0,,,,,SFD,,,308,,,OLIVER,DR,,AYR,,
-77.975021258428939,39.96291274144442,0,,,,,SFD,,,133,,,NORMANS,LN,,TOD,,
-77.967551301222173,39.967573893030817,0,,,,,SFD,,,23290,,,GREAT COVE,RD,,TOD,,
-77.976217029303541,40.032247064196866,0,,,,,SFD,,,818,,,BATTLE RIDGE,RD,,DUB,,
-77.998168315572769,40.041593820706836,0,,,,,SFD,,,9488,,,WATERFALL,RD,,DUB,,
-77.996152463550686,40.087167296384159,0,,,,,SFD,,,3276,N,,CLEAR RIDGE,RD,,DUB,,
-78.037309682204949,40.049292300586345,0,,,,,SFD,,,408,,,SNYDER,LN,,TAY,,
-78.056722610847046,40.076167034430348,0,,,,,SFD,,,423,,,WOODEN BRIDGE,RD,,TAY,,
-78.050332359418519,40.025757841851785,0,,,,,SFD,,,1158,,,TRAILS END,RD,,LCR,,
-78.12613464723438,40.08824692560713,0,,,,,SFD,,,1186,,,WELLS VALLEY,RD,,WEL,,
-78.151372083283519,40.090190024718119,0,,,,,SFD,,,563,,,METZLER,RD,,WEL,,
-78.135488638629255,40.076370866410507,0,,,,,SFD,,,266,,,WELLS VALLEY,RD,,WEL,,
-78.186935264905316,40.016778053979571,0,,,,,SFD,,,8645,S,,VALLEY,RD,,BCR,,
-78.08635347954295,39.940507349345069,0,,,,,SFD,,,7732,,,PLEASANT RIDGE,RD,,LCR,,
-78.043417135109507,39.977269658793141,0,,,,,SFD,,,151,,,OAK RIDGE,DR,,LCR,,
-78.249999930610571,39.835563267920811,0,,,,,SFD,,,169,,,LOCUST GROVE,RD,,BCR,,
