X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-77.345294696168096,41.544234767505948,0,,,5701,,,,,2155,,,WILSON HILL RD,,,PINE,,
-77.143030235287611,41.546943126374323,0,,,6038,,,,,0,,,,,,,,
-77.133272896641898,41.546958583891957,0,,,6050,,,,,851,,,ROUTE RD,,,,,
-77.101509009030423,41.547758000701656,0,,,6056,,,,,3707,,,WILLIAMSON TRAIL RD,,,,,
-77.101144031100958,41.547721554799196,0,,,6057,,,,,3718,,,WILLIAMSON TRAIL RD,,,,,
-77.062975910520592,41.548671917353474,0,,,6097,,,,,981,,,FORMAN HOLLOW RD,,,,,
-76.937221154781454,41.569768914332421,0,,,2408,,,,,0,,,,,,,,
-76.94008604840289,41.570020728428894,0,,,2409,,,,,0,,,,,,,,
-76.941769920946044,41.569950289709936,0,,,2410,,,,,0,,,,,,,,
-76.951672524310894,41.565917500585222,0,,,2411,,,,,0,,,,,,,,
-76.950725357284327,41.566639966577732,0,,,2412,,,,,0,,,,,,,,
-76.952125942728713,41.565970555129439,0,,,2413,,,,,0,,,,,,,,
-76.952589031450373,41.565458464111806,0,,,2414,,,,,0,,,,,,,,
-76.95376821940971,41.563989260054434,0,,,2415,,,,,0,,,,,,,,
-76.955037162067114,41.562871195040948,0,,,2418,,,,,0,,,,,,,,
-76.954863810192961,41.563076700627512,0,,,2419,,,,,0,,,,,,,,
-76.955469111186204,41.562735742332229,0,,,2420,,,,,0,,,,,,,,
-76.949601501230788,41.566647266801702,0,,,2439,,,,,0,,,,,,,,
-76.89666638038527,41.586431744331023,0,,,2568,,,,,0,,,,,,,,
-76.887530929553876,41.587048577825719,0,,,2575,,,,,1913,,,MILL HILL RD,,,MCNETT,,
-76.904857177034316,41.58317436599188,0,,,2608,,,,,4283,,,RT 14 HWY,,,,,
-76.905213534768421,41.583107847338503,0,,,2609,,,,,4273,,,RT 14 HWY,,,,,
-76.925292109392842,41.575756003038087,0,,,2612,,,,,0,,,,,,,,
-77.284751611624685,41.544141241495055,0,,,5718,,,,,31,,,GRAANGER LN,,,,,
-77.285187205182254,41.544211611687686,0,,,5719,,,,,24168,,,RT 287 HWY,,,,,
-77.265936081756593,41.544930094623894,0,,,5726,,,,,0,,,,,,,,
-77.26894517473464,41.544838398431558,0,,,5727,,,,,0,,,,,,,,
-77.270560263924239,41.544663645880753,0,,,5728,,,,,0,,,,,,,,
-77.27134889072812,41.544726444694007,0,,,5729,,,,,0,,,,,,,,
-77.27285070159769,41.544554277294317,0,,,5730,,,,,0,,,,,,,,
-77.273768357941336,41.544582515015037,0,,,5731,,,,,0,,,,,,,,
-77.275105800195178,41.544530825810376,0,,,5732,,,,,0,,,,,,,,
-77.248571540138045,41.545039758255605,0,,,5737,,,,,5473,,,TEXAS CREEK RD,,,,,
-77.236603772297201,41.545943719402665,0,,,5744,,,,,404,,,PRIVATE 076 RD,,,,,
-77.399442038203659,41.544154325621498,0,,,3168,,,,,23408,,,RT 414 HWY,,,,,
-76.962885758994929,41.552900988910942,0,,,58519,,,,,14470,,,RT 14 HWY,,,,,
-76.888705358162937,41.586769943608701,0,,,58574,,,,,1917,,,MILL HILL RD,,,MCNETT,,
-77.205350825841222,41.968001088473883,0,,,,,ADR,,,1474,,,CROFT HILL,RD,,LAWRENCE TWP,,
-77.215403226860346,41.963634647774924,0,,,,,ADR,,,425,,,BAILEY HILL,RD,,LAWRENCE TWP,,
-77.218481279069479,41.966251925392953,0,,,,,ADR,,,292,,,BAILEY HILL,RD,,LAWRENCE TWP,,
-77.126550920475736,41.99202586386437,0,,,,,ADR,,,2945,,,TIOGA RIVER,RD,,LAWRENCEVILLE BORO,,
-77.127691491013934,41.984568159138234,0,,,,,ADR,,,90,,,BEERS,RD,,LAWRENCE TWP,,
-77.190053825817515,41.982624906972283,0,,,,,ADR,,,1627,,,BLISS,RD,,LAWRENCE TWP,,
-77.227751413706201,41.991490896363558,0,,,,,ADR,,,390,,,PEASE HILL,RD,,NELSON TWP,,
-77.188437524101161,41.983867099033795,0,,,,,ADR,,,49,,,BUTTON HILL,RD,,LAWRENCE TWP,,
-77.17762121354076,41.996105106253616,0,,,,,ADR,,,486,,,HEATER HILL,RD,,LAWRENCE TWP,,
-77.08741038124289,41.986781724947406,0,,,,,ADR,,,1888,,,BUCKWHEAT HOLLOW,RD,,LAWRENCE TWP,,
-77.033659894739614,41.997361540315779,0,,,,,ADR,,,3380,,,BUCKWHEAT HOLLOW,RD,,JACKSON TWP,,
-77.035522421923375,41.986899551631929,0,,,,,ADR,,,2217,E,,LAWRENCE,RD,,JACKSON TWP,,
-77.106033538116165,41.967860951141304,0,,,,,ADR,,,120,,,SOMERS,LN,,LAWRENCE TWP,,
-77.107810497739393,41.968527277361417,0,,,,,ADR,,,204,,,UPPER SOMERS,LN,,LAWRENCE TWP,,
-77.10669433841619,41.968516567900018,0,,,,,ADR,,,214,,,UPPER SOMERS,LN,,LAWRENCE TWP,,
-77.104482940662692,41.968830264451604,0,,,,,ADR,,,305,,,SOMERS LANE,EXT,,LAWRENCE TWP,,
-77.1044372585514,41.968544782017752,0,,,,,ADR,,,304,,,SOMERS LANE,EXT,,LAWRENCE TWP,,
-77.114068606739153,41.970033155505519,0,,,,,ADR,,,275,,,TREMAINE,RD,,LAWRENCE TWP,,
-77.127132489650137,41.997871390254105,0,,,,,ADR,,,58,,,MAIN,ST,,LAWRENCEVILLE BORO,,
-77.109428837816466,41.967082177355501,0,,,,,ADR,,,34,E,,LAWRENCE,RD,,LAWRENCE TWP,,
-76.97439039171347,41.97365110916337,0,,,,,ADR,,,2321,,,ALDER RUN,RD,,JACKSON TWP,,
-77.006911447351229,41.972802665875129,0,,,,,ADR,,,707,,,HUDSON HILL,RD,,JACKSON TWP,,
-77.047114680995236,41.944905120745418,0,,,,,ADR,,,156,,,WALES,RD,,JACKSON TWP,,
-77.046428077641195,41.948758546997716,0,,,,,ADR,,,183,,,LYMAN STONE,RD,,JACKSON TWP,,
-76.988977841020997,41.96207848681837,0,,,,,ADR,,,114,,,WHITE,RD,,JACKSON TWP,,
-76.967513795764887,41.962951283696384,0,,,,,ADR,,,4345,,,ROUTE 328,,,JACKSON TWP,,
-77.003906154511768,41.915191990913769,0,,,,,ADR,,,859,W,,BRANCH,RD,,JACKSON TWP,,
-76.973873193780108,41.924169248113309,0,,,,,ADR,,,242,,,LAKE,RD,,JACKSON TWP,,
-76.965560814018232,41.926608577165197,0,,,,,ADR,,,67,,,BUCK LAKE,RD,,JACKSON TWP,,
-76.964293627015337,41.924263081231892,0,,,,,ADR,,,169,,,BUCK LAKE,RD,,JACKSON TWP,,
-76.942898798183649,41.932694448012562,0,,,,,ADR,,,1162,,,LAKE,RD,,JACKSON TWP,,
-76.940872364773824,41.984378441176332,0,,,,,ADR,,,45,,,BACK,ST,,JACKSON TWP,,
-76.929765535638282,41.991738400337304,0,,,,,ADR,,,55,,,PINE HILL,DR,,JACKSON TWP,,
-76.930848865362904,41.991741323199783,0,,,,,ADR,,,53,,,PINE HILL,DR,,JACKSON TWP,,
-76.926094314078043,41.987997514139884,0,,,,,ADR,,,5800,,,MAIN,ST,,JACKSON TWP,,
-76.93350501607442,41.884240021891955,0,,,,,ADR,,,442,,,ALDRICH,RD,,RUTLAND TWP,,
-77.008173680419787,41.873930700977617,0,,,,,ADR,,,565,,,BAILEY CREEK,RD,,RUTLAND TWP,,
-76.961670339623524,41.908836403636109,0,,,,,ADR,,,2276,,,BAILEY CREEK,RD,,RUTLAND TWP,,
-76.957702742533243,41.913799710835413,0,,,,,ADR,,,88,,,HOLTON,LN,,JACKSON TWP,,
-76.958275701472758,41.909464616177537,0,,,,,ADR,,,2392,,,BAILEY CREEK,RD,,RUTLAND TWP,,
-76.946261861817803,41.920253285129128,0,,,,,ADR,,,2844,,,BAILEY CREEK,RD,,JACKSON TWP,,
-76.918235144498638,41.927831621975052,0,,,,,ADR,,,241,,,JENNINGS,RD,,JACKSON TWP,,
-77.344891240555398,41.988166252450753,0,,,,,ADR,,,86,,,CAMP BROOK,RD,,OSCEOLA TWP,,
-77.38681815487675,41.996284271810737,0,,,,,ADR,,,1498,,,HOLDEN BROOK,RD,,OSCEOLA TWP,,
-77.365759199950872,41.947054344999692,0,,,,,ADR,,,3847,,,LOCEY CREEK,RD,,OSCEOLA TWP,,
-77.366406144860235,41.94208019692428,0,,,,,ADR,,,3665,,,LOCEY CREEK,RD,,OSCEOLA TWP,,
-77.338535259668234,41.941736489201659,0,,,,,ADR,,,1556,,,JOHNSON,RD,,FARMINGTON TWP,,
-77.326380774062514,41.953930081180907,0,,,,,ADR,,,1031,,,PLEASANT VALLEY,RD,,FARMINGTON TWP,,
-77.325022912254539,41.947627022793789,0,,,,,ADR,,,301,,,TANNERY HILL,RD,,FARMINGTON TWP,,
-77.322458395612756,41.964703918500788,0,,,,,ADR,,,601,,,BRIAR HILL,RD,,OSCEOLA TWP,,
-77.327917154518317,41.984563807494261,0,,,,,ADR,,,107,W,,WOODLAWN,AVE,,ELKLAND BORO,,
-77.328487146306912,41.984480906153578,0,,,,,ADR,,,109,W,,WOODLAWN,AVE,,ELKLAND BORO,,
-77.328439363588515,41.984046426849034,0,,,,,ADR,,,112,W,,WOODLAWN,AVE,,ELKLAND BORO,,
-77.328958487374621,41.984001104357993,0,,,,,ADR,,,114,W,,WOODLAWN,AVE,,ELKLAND BORO,,
-77.329605564696138,41.98373908947724,0,,,,,ADR,,,116,W,,WOODLAWN,AVE,,ELKLAND BORO,,
-77.316650359238992,41.989566830581182,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.316696236394122,41.989537699277349,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.316777111038519,41.989537364455821,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.317210107370798,41.989447533809034,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.317282045255808,41.989433696477938,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.317342659478541,41.989416996253127,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.317720858027911,41.989407121037871,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.317743186586355,41.989460803952269,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.317754210133103,41.989508801974495,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.317821140316468,41.989678311501592,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.317839725900441,41.989726337263932,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.31786209187338,41.989774377794369,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.317679515512097,41.989934495992337,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.317622740729632,41.989942747659853,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.317558364335312,41.989956612066905,0,,,,,ADR,,,201,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.316875725582861,41.991071771724904,0,,,,,ADR,,,215,,,PATTISON AVENUE,EXT,,ELKLAND BORO,,
-77.314906348546259,41.988293769308626,0,,,,,ADR,,,109,,,FIRST,ST,,ELKLAND BORO,,
-77.313661183725429,41.987279295318793,0,,,,,ADR,,,105,,,PARKHURST,ST,,ELKLAND BORO,,
-77.313715253815957,41.987167116467489,0,,,,,ADR,,,105,,,PARKHURST,ST,,ELKLAND BORO,,
-77.313578382041626,41.987496100667585,0,,,,,ADR,,,107,,,PARKHURST,ST,,ELKLAND BORO,,
-77.313600333396053,41.987435908940398,0,,,,,ADR,,,107,,,PARKHURST,ST,,ELKLAND BORO,,
-77.313707860770023,41.98746444105177,0,,,,,ADR,,,107,,,PARKHURST,ST,,ELKLAND BORO,,
-77.313013284719332,41.989024937660538,0,,,,,ADR,,,220,,,PARKHURST,ST,,ELKLAND BORO,,
-77.311876948206972,41.995706802595564,0,,,,,ADR,,,105,E,,HIGHLAND,AVE,,ELKLAND BORO,,
-77.309305389779126,41.995495052926728,0,,,,,ADR,,,118,,,COOLIDGE,AVE,,ELKLAND BORO,,
-77.312947183054334,41.991114268691007,0,,,,,ADR,,,102,,,WAG,AVE,,ELKLAND BORO,,
-77.312537864909686,41.988037801488908,0,,,,,ADR,,,131,N,,BUFFALO,ST,,ELKLAND BORO,,
-77.312390259784692,41.98732233503231,0,,,,,ADR,,,119,N,,BUFFALO,ST,,ELKLAND BORO,,
-77.312504796304054,41.989251993729354,0,,,,,ADR,,,101,,,SECOND,ST,,ELKLAND BORO,,
-77.31176539314184,41.990222732688729,0,,,,,ADR,,,104,,,CAMPBELL,ST,,ELKLAND BORO,,
-77.309694664409179,41.986624626495413,0,,,,,ADR,,,206,E,,MAIN,ST,,ELKLAND BORO,,
-77.309204381590774,41.986671046435013,0,,,,,ADR,,,210,E,,MAIN,ST,,ELKLAND BORO,,
-77.304287033152249,41.991081076026411,0,,,,,ADR,,,110,,,ELLISON,RD,,ELKLAND BORO,,
-77.305197190746696,41.987032134125904,0,,,,,ADR,,,102,,,CONSTITUTIONAL,AVE,,ELKLAND BORO,,
-77.309705455935003,41.985639003205186,0,,,,,ADR,,,302,E,,MAIN,ST,,ELKLAND BORO,,
-77.309529993873696,41.986169496400031,0,,,,,ADR,,,302,E,,MAIN,ST,,ELKLAND BORO,,
